Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
dolphins,ext_label,2,False,62,159,13,0.01,14,0.00500035285949707,0.09351253509521484,13.0,13.0
polbooks,ext_label,2,False,105,441,12,0.02,13,0.01300668716430664,0.7695753574371338,12.0,12.0
football,ext_label,2,False,115,613,7,0.13,12,0.17702460289001465,2233.9160454273224,10.0,10.0
celegansneural,ext_label,2,False,297,2148,14,0.46,16,0.05551934242248535,44.220295906066895,15.0,15.0
email,ext_label,2,False,1133,5451,209,0.79,210,0.10750555992126465,83.04139637947083,209.0,209.0
data,ext_label,2,False,2851,15093,250,180.42,284,60.37001848220825,3915.7348544597626,284.0,250.99999999999983
dolphins,Sasha,2,False,62,159,13,0.01,14,0.010234355926513672,1.4047143459320068,13.0,13.0
polbooks,Sasha,2,False,105,441,12,0.02,13,0.016997814178466797,4.097109079360962,12.0,12.0
football,Sasha,2,False,115,613,7,0.24,12,0.4895784854888916,3074.775504589081,9.999999998899998,9.999999998899998
celegansneural,Sasha,2,False,297,2148,14,0.49,16,0.057013750076293945,3633.447772502899,16,14
email,Sasha,2,False,1133,5451,209,0.83,210,0.1085047721862793,1629.0946698188782,210,209
