Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
karate,LB+UB,3,False,34,78,2,0.01,2,0.0,0.009007692337036133,N/A,N/A
chesapeake,LB+UB,3,False,39,170,1,0.0,1,0.01570415496826172,0.03133511543273926,N/A,N/A
dolphins,LB+UB,3,False,62,159,6,0.0,7,0.0156252384185791,0.03117084503173828,N/A,N/A
lesmis,LB+UB,3,False,77,254,6,0.02,6,0.015670061111450195,0.04751944541931152,N/A,N/A
polbooks,LB+UB,3,False,105,441,5,0.03,6,0.015625476837158203,0.062459707260131836,N/A,N/A
adjnoun,LB+UB,3,False,112,425,8,0.05,8,0.015625476837158203,0.10979628562927246,N/A,N/A
football,LB+UB,3,False,115,613,3,0.06,6,0.17226243019104004,0.2724184989929199,N/A,N/A
jazz,LB+UB,3,False,198,2742,6,0.13,6,0.12538957595825195,0.45519018173217773,N/A,N/A
celegansneural,LB+UB,3,False,297,2148,5,0.47,7,0.20391249656677246,1.003953456878662,N/A,N/A
celegans_metabolic,LB+UB,3,False,453,2025,15,0.69,15,0.15714406967163086,1.301781177520752,N/A,N/A
netscience,LB+UB,3,False,1589,2742,444,0.25,445,0.20998454093933105,0.611870527267456,N/A,N/A
polblogs,LB+UB,3,False,1490,16715,311,13.429999999999998,348,67.87790369987488,88.5144739151001,N/A,N/A
email,LB+UB,3,False,1133,5451,93,25.15,97,0.34587526321411133,27.39639186859131,N/A,N/A
data,LB+UB,3,False,2851,15093,127,12.4,139,60.68824529647827,77.59366416931152,N/A,N/A
